"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"285860","0","3"
"294783","0","1"
"294783","1","2"
"294783","2","3"
"294783","3","4"
"294783","4","5"
"294814","0","1"
"294814","1","2"
"294958","0","1"
"294958","1","7"
"294958","2","36"
"313459","0","1"
"313459","1","2"
"313459","2","3"
"313459","3","4"
"313459","4","5"
"313459","5","8"
"313462","0","1"
"313462","1","3"
"313462","2","2"
"313481","0","2"
"313481","1","1"
"313481","2","3"
"313481","3","5"
"313481","4","6"
"313481","5","4"
"314537","0","1"
"314537","1","2"
"317301","0","1"
"333531","0","2"
"333534","0","2"
"343400","0","2"
"355224","0","1"
"355226","0","1"
"355226","1","2"
"355226","2","3"
"355226","3","4"
"355226","4","5"
"355230","0","1"
"355230","1","2"
"355230","2","3"
"355249","0","1"
"355249","1","2"
"355249","2","3"
"374300","0","1"
"374300","1","2"
"374303","0","1"
"374303","1","2"
"374306","0","1"
"374306","1","2"
"374306","2","3"
"374306","3","4"
"374340","0","1"
"374340","1","2"
"377505","0","2"
"377533","0","2"
"377533","1","20"
"377533","2","21"
"377572","0","2"
"377572","1","3"
"377572","2","4"
"377572","3","5"
"377577","0","2"
"377577","1","4"
"377577","2","5"
"377582","0","2"
"377582","1","3"
"377582","2","4"
"377582","3","5"
"377587","0","2"
"377587","1","3"
"377999","0","2"
"377999","1","3"
"378004","0","1"
"378004","1","2"
"378004","2","3"
"378004","3","4"
"378004","4","5"
"378006","0","1"
"378006","1","2"
"378006","2","3"
"378025","0","2"
"378025","1","3"
"378025","2","4"
"378025","3","5"
"378242","0","1"
"378242","1","2"
"393381","0","1"
"393381","1","2"
"393381","2","3"
"393387","0","1"
"393387","1","2"
"393392","0","1"
"393392","1","2"
"393392","2","3"
"393392","3","4"
"393394","0","1"
"393394","1","2"
"393396","0","2"
"393396","1","1"
"393423","0","1"
"393423","1","2"
"393697","0","1"
"402024","0","1"
"428451","0","2"
"428468","0","1"
"428468","1","2"
"428483","0","1"
"428483","1","2"
"428483","2","3"
"428483","3","4"
"428489","0","2"
"428573","0","1"
"428573","1","2"
"428573","2","6"
"428609","0","1"
"428609","1","2"
"428609","2","3"
"428609","3","4"
"428609","4","5"
"428609","5","6"
"428613","0","1"
"429062","0","2"
"429623","0","2"
"429699","0","1"
"429699","1","2"
"429708","0","2"
"429726","0","1"
"429726","1","2"
"430815","0","2"
"431109","0","1"
"431345","0","1"
"431353","0","1"
"431353","1","2"
"431353","2","3"
"431384","0","1"
"431384","1","2"
"431400","0","1"
"431400","1","2"
"431419","0","1"
"431419","1","2"
"431419","2","4"
"431546","0","1"
"431546","1","2"
"431546","2","3"
"431546","3","4"
"431562","0","1"
"431562","1","2"
"431562","2","3"
"431645","0","1"
"431645","1","18"
"431645","2","5"
"431653","0","2"
"431653","1","3"
"431653","2","4"
"431658","0","1"
"431658","1","2"
"431779","0","1"
"431779","1","2"
"431779","2","3"
"431821","0","1"
"431821","1","2"
"431821","2","3"
"431821","3","4"
"431821","4","5"
"431834","0","1"
"431834","1","2"
"431861","0","2"
"431861","1","3"
"431920","0","1"
"431920","1","2"
"431939","0","1"
"431993","0","1"
"482654","0","2"
"482654","1","3"
"482654","2","5"
"482654","3","6"
"482797","0","1"
"482797","1","2"
"542371","0","1"
"542371","1","2"
"542371","2","3"
"542371","3","4"
"542867","0","1412905845727"
"542867","1","1412905845728"
"542988","0","1"
"542988","1","2"
"542988","2","3"
"542988","3","4"
"543050","0","2"
"543050","1","1415961352401"
"543440","0","1"
"543440","1","2"
"543440","2","3"
"543440","3","4"
"543440","4","5"
"543517","0","1"
"543517","1","2"
"543517","2","3"
"543517","3","4"
"543531","0","1"
"543531","1","2"
"543539","0","1"
"543574","0","1"
"543574","1","2"
"543584","0","1"
"543584","1","2"
"543585","0","1"
"543585","1","2"
"543586","0","1"
"543586","1","2"
"543586","2","3"
"543666","0","1"
"543666","1","2"
"543666","2","3"
"543666","3","4"
"543666","4","5"
"561160","0","1"
"561160","1","2"
"561160","2","3"
"561160","3","4"
"561218","0","1"
"561218","1","3"
"561218","2","4"
"561218","3","5"
"561219","0","1"
"561219","1","2"
"561219","2","3"
"561224","0","2"
"561224","1","3"
"561224","2","4"
"561225","0","1"
"561225","1","2"
"561227","0","1"
"561227","1","2"
"561227","2","3"
"561228","0","2"
"561228","1","1"
"561229","0","1"
"561229","1","2"
"561229","2","3"
"561229","3","4"
"561231","0","1"
"561231","1","2"
"561231","2","3"
"561238","0","1"
"561240","0","1"
"561240","1","2"
"561240","2","3"
"561240","3","4"
"561240","4","5"
"561346","0","1"
"561346","1","2"
"561348","0","1"
"561348","1","2"
"561348","2","5"
"561353","0","1"
"561366","0","3"
"561366","1","4"
"561377","0","1"
"561382","0","1"
"561382","1","2"
"561382","2","3"
"561388","0","1"
"561396","0","1"
"561396","1","2"
"561396","2","3"
"561396","3","4"
"561407","0","1"
"561407","1","2"
"561417","0","1"
"561417","1","2"
"561425","0","2"
"561425","1","3"
"561425","2","4"
"562924","0","2"
