"main.id","hpq_phiheal_spon_mem.id","phiheal_spon_mem_refno"
"231855","0","1"
"231856","0","1"
"231858","0","1"
"231859","0","1"
"231864","0","2"
"232410","0","1"
"232410","1","2"
"232410","2","3"
"232410","3","4"
"232410","4","5"
"232413","0","1"
"232413","1","2"
"232413","2","3"
"232413","3","4"
"232413","4","5"
"232413","5","7"
"232414","0","1"
"232414","1","2"
"232414","2","3"
"232414","3","4"
"232414","4","5"
"232414","5","6"
"232414","6","7"
"232420","0","1"
"232420","1","2"
"232420","2","3"
"232424","0","1"
"232424","1","2"
"232424","2","3"
"232424","3","4"
"232429","0","1"
"232448","0","1"
"232448","1","2"
"232448","2","3"
"232448","3","4"
"232448","4","5"
"232448","5","6"
"232451","0","1"
"232455","0","1"
"232455","1","2"
"232456","0","1"
"232456","1","4"
"232456","2","5"
"232461","0","2"
"232461","1","4"
"232462","0","1"
"232462","1","2"
"232475","0","1"
"232475","1","2"
"232475","2","3"
"232475","3","4"
"232487","0","2"
"232487","1","3"
"232487","2","4"
"232488","0","1"
"232488","1","2"
"232488","2","3"
"232488","3","4"
"232488","4","5"
"232524","0","4"
"232527","0","1"
"232527","1","4"
"232527","2","10"
"232551","0","1"
"232561","0","2"
"232561","1","5"
"232565","0","1"
"232567","0","3"
"232580","0","1"
"232580","1","2"
"233336","0","1"
"233336","1","2"
"233336","2","3"
"233336","3","4"
"233336","4","5"
"233336","5","12"
"233336","6","33"
"233336","7","44"
"233343","0","1"
"233343","1","2"
"233343","2","3"
"233343","3","4"
"233343","4","5"
"233343","5","6"
"233343","6","7"
"233343","7","8"
"233350","0","2"
"233350","1","4"
"233350","2","5"
"233350","3","6"
"233350","4","7"
"233350","5","8"
"233354","0","1"
"233354","1","2"
"233354","2","3"
"233354","3","4"
"233354","4","5"
"233354","5","6"
"233355","0","1"
"233355","1","2"
"233355","2","3"
"233355","3","4"
"233355","4","5"
"233355","5","6"
"233355","6","7"
"233356","0","1"
"233356","1","2"
"233356","2","3"
"233356","3","4"
"233362","0","1"
"233362","1","2"
"233362","2","3"
"233362","3","4"
"233362","4","5"
"233362","5","6"
"233913","0","2"
"233915","0","1"
"233915","1","2"
"233915","2","5"
"233924","0","1"
"233924","1","2"
"233924","2","3"
"233929","0","1"
"233929","1","2"
"233929","2","3"
"233929","3","4"
"233934","0","1"
"233934","1","2"
"233934","2","3"
"233934","3","4"
"233938","0","1"
"233938","1","2"
"233938","2","3"
"233938","3","4"
"233938","4","5"
"233940","0","1"
"233942","0","1"
"233942","1","2"
"233942","2","3"
"233942","3","4"
"233942","4","6"
"233947","0","1"
"233947","1","2"
"233948","0","1"
"233948","1","2"
"233948","2","3"
"233948","3","4"
"233948","4","6"
"233949","0","1"
"233949","1","2"
"233954","0","2"
"233954","1","1"
"233954","2","3"
"234006","0","1"
"234006","1","2"
"234007","0","9"
"234007","1","1"
"234008","0","1"
"234008","1","2"
"234008","2","3"
"234008","3","4"
"234009","0","1"
"234009","1","2"
"234009","2","3"
"234009","3","4"
"234010","0","2"
"234010","1","3"
"234012","0","1"
"234012","1","2"
"234012","2","3"
"234012","3","4"
"234012","4","5"
"234012","5","6"
"234015","0","1"
"234015","1","3"
"234015","2","4"
"234016","0","2"
"234016","1","3"
"234017","0","1"
"235696","0","2"
"235697","0","2"
"235698","0","2"
"235701","0","1"
"235716","0","2"
"235723","0","1"
"235730","0","2"
"235736","0","2"
"235736","1","3"
"235736","2","4"
"235736","3","5"
"235736","4","6"
"235738","0","2"
"235743","0","1"
"235757","0","2"
"235773","0","1"
"236088","0","1"
"236088","1","2"
"236088","2","5"
"236088","3","6"
"236092","0","1"
"236093","0","1"
"236093","1","2"
"236093","2","3"
"236093","3","4"
"236093","4","5"
"236093","5","6"
"236093","6","6"
"236121","0","1"
"236121","1","2"
"236121","2","3"
"236121","3","4"
"236121","4","5"
"236121","5","6"
"236121","6","8"
"236121","7","9"
"236122","0","1"
"236122","1","5"
"236127","0","2"
"236127","1","5"
"236127","2","8"
"236127","3","6"
"236131","0","1"
"236131","1","2"
"236131","2","3"
"236131","3","4"
"236131","4","5"
"236131","5","6"
"236133","0","1"
"236133","1","2"
"236133","2","4"
"236133","3","5"
"236133","4","6"
"236133","5","7"
"236133","6","8"
"236139","0","1"
"236139","1","2"
"236139","2","3"
"236139","3","4"
"236139","4","5"
"236141","0","1"
"236141","1","2"
"236141","2","3"
"236141","3","4"
"236143","0","1"
"236143","1","2"
"236143","2","3"
"236143","3","4"
"236143","4","5"
"236143","5","6"
"236143","6","7"
"236143","7","8"
"236143","8","9"
"236169","0","1"
"236169","1","2"
"236169","2","3"
"236169","3","4"
"236169","4","5"
"236169","5","6"
"236175","0","1"
"236180","0","1"
"236180","1","2"
"236180","2","3"
"236180","3","4"
"236180","4","5"
"236182","0","1"
"236182","1","2"
"236182","2","3"
"236182","3","4"
"236187","0","1"
"236187","1","2"
"236187","2","4"
"236187","3","5"
"236187","4","6"
"236190","0","1"
"236190","1","2"
"236190","2","3"
"236190","3","4"
"236190","4","5"
"236191","0","1"
"236191","1","2"
"236191","2","3"
"236191","3","4"
"236191","4","5"
"236191","5","6"
"236191","6","7"
"236196","0","1"
"236196","1","2"
"236196","2","3"
"236200","0","1"
"236200","1","4"
"236200","2","5"
"236202","0","1"
"236202","1","2"
"236208","0","1"
"236208","1","2"
"236211","0","1"
"236211","1","2"
"236211","2","4"
"236211","3","5"
"236256","0","1"
"236256","1","2"
"236256","2","3"
"236256","3","4"
"236256","4","5"
"236265","0","1"
"236265","1","2"
"236265","2","3"
"236265","3","4"
"236265","4","5"
"236265","5","6"
"236265","6","7"
"236265","7","8"
"240758","0","2"
"240758","1","3"
"240758","2","4"
"240758","3","5"
"240760","0","2"
"240761","0","2"
"240761","1","3"
"240762","0","1"
"240762","1","2"
"240762","2","3"
"240762","3","4"
"240762","4","5"
"240762","5","6"
"240762","6","7"
"240769","0","2"
"240773","0","1"
"240773","1","2"
"240773","2","3"
"240773","3","4"
