"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"34573","0","1"
"34573","1","2"
"34573","2","4"
"34573","3","5"
"34573","4","6"
"34598","0","1"
"34598","1","2"
"34598","2","3"
"44496","0","1"
"44496","1","2"
"44529","0","1"
"44569","0","1"
"44645","0","1"
"44667","0","1"
"44667","1","2"
"44667","2","3"
"44667","3","4"
"44710","0","1"
"44710","1","2"
"45624","0","1"
"45624","1","2"
"45624","2","3"
"45625","0","1"
"45625","1","2"
"45625","2","4"
"45625","3","5"
"45626","0","1"
"45626","1","2"
"45626","2","3"
"45645","0","1"
"45645","1","2"
"50796","0","1"
"50796","1","2"
"50796","2","3"
"51053","0","1"
"53876","0","1"
"53876","1","2"
"53876","2","3"
"53876","3","4"
"53896","0","1"
"53905","0","1"
"53905","1","2"
"53905","2","3"
"53905","3","4"
"53905","4","5"
"53908","0","1"
"53941","0","6"
"53941","1","9"
"53941","2","8"
"53941","3","10"
"53941","4","2"
"54112","0","1"
"54112","1","2"
"54112","2","3"
"54114","0","1"
"54114","1","2"
"54114","2","3"
"54114","3","4"
"54114","4","5"
"54118","0","1"
"54118","1","2"
"54118","2","3"
"54125","0","1"
"54125","1","2"
"54125","2","3"
"54125","3","4"
"54125","4","5"
"54125","5","6"
"54125","6","7"
"54136","0","1"
"54136","1","2"
"54136","2","3"
"54255","0","1"
"54255","1","2"
"54255","2","4"
"54255","3","3"
"54256","0","1"
"54256","1","2"
"54259","0","1"
"54265","0","2"
"54265","1","4"
"54265","2","5"
"54265","3","6"
"54265","4","7"
"54265","5","8"
"54265","6","10"
"54265","7","9"
"54267","0","1"
"54267","1","2"
"54267","2","7"
"54276","0","1"
"77281","0","3"
"77262","0","1"
"77262","1","2"
"77262","2","3"
"77262","3","4"
"78330","0","1"
"78330","1","2"
"44535","0","1"
"44535","1","2"
"44535","2","3"
"44535","3","4"
"44535","4","5"
"78698","0","4"
"79053","0","2"
"79074","0","4"
"91498","0","1"
"91498","1","2"
"91544","0","1"
"91591","0","1"
"91591","1","2"
"91604","0","1"
"91604","1","2"
"91716","0","1"
"91716","1","2"
"91716","2","3"
"91716","3","4"
"91716","4","5"
"91716","5","6"
"91772","0","1"
"92029","0","1"
"92029","1","2"
"92209","0","1"
"92209","1","2"
"92209","2","3"
"92210","0","1"
"92210","1","2"
"92212","0","1"
"92212","1","2"
"92212","2","3"
"92212","3","4"
"92230","0","2"
"93840","0","2"
"93840","1","3"
"93840","2","4"
"93840","3","9"
"98005","0","1"
"91768","0","1"
"91768","1","2"
"91768","2","3"
"91768","3","4"
"98684","0","1"
"98684","1","2"
"98688","0","1"
"98688","1","2"
"98688","2","5"
"98688","3","6"
"98699","0","2"
"98705","0","2"
"98705","1","3"
"98705","2","4"
"98705","3","5"
"98705","4","6"
"98706","0","1"
"98706","1","3"
"98706","2","4"
"98706","3","5"
"98804","0","1"
"99599","0","1"
"99599","1","2"
"99599","2","3"
"99712","0","1"
"99712","1","2"
"99712","2","3"
"100395","0","1"
"100395","1","2"
"100395","2","3"
"100395","3","4"
"100395","4","5"
"100398","0","1"
"100398","1","2"
"100398","2","6"
"100398","3","7"
"100398","4","8"
"100398","5","9"
"100787","0","1"
"100787","1","2"
"100787","2","3"
"100940","0","1"
"100940","1","2"
"100940","2","3"
"100940","3","4"
"100940","4","5"
"100940","5","6"
"101624","0","1"
"101624","1","2"
"101624","2","3"
"101632","0","1"
"101632","1","2"
"101632","2","3"
"101634","0","1"
