"main.id","hpq_aquaequip.id","aquaequip_line","aquaequiptype","aquaequiptype_o","aquaequiptype_own"
"533388","0","5","8","Itak","1"
"533404","0","12","8","Itak","1"
"533411","0","9","1","","1"
"533411","1","10","8","Pana","1"
"559489","0","42","1","","1"
"559489","1","43","6","","1"
"559489","2","44","8","Pataw pataw","1"
"559508","0","10","1","","1"
"559508","1","11","6","","1"
"559508","2","12","8","Panak","1"
"559514","0","19","6","","1"
"559530","0","32","6","","1"
"559534","0","9","1","","1"
"559534","1","10","6","","1"
"559551","0","11","1","","1"
"559569","0","10","6","","1"
"559591","0","6","1","","1"
"559591","1","7","6","","1"
"559591","2","8","8","Itak","1"
"559591","3","9","8","Pana","1"
"559594","0","25","6","","1"
"559606","0","9","1","","1"
"559612","0","7","1","","1"
"559638","0","7","1","","1"
"559638","1","8","6","","1"
"559651","0","7","1","","1"
"559655","0","13","6","","1"
"565185","0","15","6","","1"
"565188","0","7","1","","1"
"565188","1","8","6","","1"
"565190","0","3","1","","1"
"565194","0","9","8","Itak","1"
"565194","1","10","8","Bunu buno","1"
"565204","0","9","8","Pana","1"
"565204","1","10","8","Head lamp","1"
"565205","0","8","6","","1"
"565208","0","8","1","","1"
"565208","1","9","8","Panak","1"
"565209","0","5","8","Sulo","1"
"565211","0","11","6","","1"
"565221","0","9","8","Bulos","1"
"565223","0","14","8","Bulos","1"
"565226","0","6","3","","1"
"565241","0","12","6","","1"
"565242","0","8","6","","1"
"581756","0","1408521350893","1","","1"
"581756","1","1408521350894","6","","1"
"581800","0","4","6","","1"
"581851","0","6","6","","2"
"581887","0","5","1","","1"
"581887","1","6","8","Lampa","1"
"581906","0","17","1","","1"
"581906","1","18","6","","1"
"581913","0","13","6","","1"
"581919","0","15","1","","1"
"581933","0","7","6","","1"
"581935","0","5","1","","2"
"581953","0","4","6","","1"
"581957","0","18","6","","1"
"581957","1","31","1","","1"
"581961","0","6","1","","1"
"581961","1","7","6","","1"
"581980","0","8","6","","1"
"582613","0","19","1","","1"
"582620","0","15","6","","1"
"582621","0","4","6","","1"
"582622","0","5","1","","1"
"582631","0","9","6","","1"
"582632","0","13","6","","1"
"582635","0","15","6","","1"
"582638","0","7","6","","1"
"582639","0","6","6","","1"
"582641","0","21","6","","1"
"582650","0","9","6","","1"
"582663","0","3","6","","2"
"582673","0","15","1","","1"
"582682","0","1408521350895","1","","1"
"582686","0","13","6","","1"
"582697","0","4","6","","1"
"582713","0","1408521350917","1","","1"
"582771","0","7","6","","1"
"582782","0","17","1","","1"
"582807","0","5","6","","1"
"582830","0","11","8","Barter system","1"
"584125","0","9","6","","1"
"584139","0","8","8","Barter","1"
"584172","0","7","8","Barter","1"
"584181","0","12","1","","1"
"584182","0","13","6","","1"
"584185","0","9","6","","1"
"584186","0","9","8","Barter","1"
"584199","0","37","6","","1"
"584253","0","16","6","","1"
"594756","0","12","3","","1"
"594807","0","6","6","","1"
"594809","0","6","6","","1"
"594813","0","2","6","","1"
"594818","0","8","1","","1"
"594818","1","9","6","","1"
"594827","0","8","1","","1"
"594827","1","9","6","","1"
"594859","0","6","6","","1"
"594868","0","8","6","","1"
"594873","0","4","1","","1"
"594873","1","5","6","","1"
"594881","0","8","1","","1"
"594881","1","9","6","","1"
"594883","0","5","6","","1"
"594891","0","8","6","","1"
"594899","0","5","6","","1"
"594901","0","6","1","","1"
"594915","0","8","1","","1"
"594937","0","14","8","Balsa","1"
"594958","0","3","6","","1"
"594961","0","7","1","","1"
"594963","0","10","6","","1"
"594968","0","36","1","","1"
"594980","0","12","6","","1"
"594983","0","9","1","","1"
"594986","0","14","1","","1"
"594986","1","15","6","","1"
"595006","0","9","6","","1"
"595011","0","9","1","","1"
